SYMBOL,SERIES,CLOSE,LAST,ISIN
20MICRONS,EQ,82.85,82.7,INE144J01027
21STCENMGM,EQ,20.35,20.35,INE253B01015
360ONE,EQ,428.15,427,INE466L01038
3IINFOLTD,EQ,33,33,INE748C01038
3MINDIA,EQ,22861.6,22920.05,INE470A01017
3PLAND,EQ,24.25,24.15,INE105C01023
5PAISA,EQ,294.15,295.9,INE618L01018
63MOONS,EQ,172.55,172,INE111B01023
A2ZINFRA,EQ,7.15,7.3,INE619I01012
AAATECH,EQ,54.15,55.5,INE0D0U01013
AAKASH,EQ,6.6,6.65,INE087Z01024
AAREYDRUGS,EQ,26.25,26.25,INE198H01019
AARON,EQ,197.8,196,INE721Z01010
AARTIDRUGS,EQ,415.95,413.65,INE767A01016
AARTIIND,EQ,547.25,546.75,INE769A01020
AARTIPHARM,EQ,319,323.95,INE0LRU01027
AARTISURF,EQ,578.15,580.9,INE09EO01013
AARVEEDEN,EQ,22.95,23,INE273D01019
AARVI,EQ,130.85,131.4,INE754X01016
AAVAS,EQ,1792.45,1781,INE216P01012
ABAN,EQ,37.4,37.5,INE421A01028
ABB,EQ,3230,3223.2,INE117A01022
ABBOTINDIA,EQ,22493.7,22500,INE358A01014
ABCAPITAL,EQ,157.7,157.65,INE674K01013
ABFRL,EQ,226.75,226.5,INE647O01011
ABSLAMC,EQ,336.85,336.65,INE404A01024
ABSLBANETF,EQ,42.06,42.1,INF209KB17D5
ABSLLIQUID,EQ,999.99,999.99,INF209KB18T9
ABSLNN50ET,EQ,39.63,39.6,INF209KB16D7
ACC,EQ,1767.55,1767.85,INE012A01025
ACCELYA,EQ,1343.4,1335.3,INE793A01012
ACCURACY,EQ,16.45,16.55,INE648Z01023
ACE,EQ,401.75,402.1,INE731H01025
ACI,EQ,583.4,582,INE128X01021
ADANIENT,EQ,1870.75,1869.5,INE423A01024
ADANIGREEN,EQ,941.15,941.4,INE364U01010
ADANIPORTS,EQ,661.65,661.1,INE742F01042
ADANIPOWER,EQ,189.15,188.9,INE814H01011
ADANITRANS,EQ,1030.85,1034,INE931S01010
ADFFOODS,EQ,727.1,725.55,INE982B01019
ADORWELD,EQ,981.95,983.9,INE045A01017
ADROITINFO,EQ,24.35,24.2,INE737B01033
ADSL,EQ,84.4,84.2,INE102I01027
ADVANIHOTR,EQ,76,76,INE199C01026
ADVENZYMES,EQ,261.55,261.6,INE837H01020
AEGISCHEM,EQ,386.95,385.1,INE208C01025
AETHER,EQ,922.6,921,INE0BWX01014
AFFLE,EQ,939.9,940,INE00WC01027
AGARIND,EQ,596.45,600,INE204E01012
AGI,EQ,376.1,375.05,INE415A01038
AGRITECH,EQ,94.25,95.25,INE449G01018
AGROPHOS,EQ,37.8,37.7,INE740V01019
AGSTRA,EQ,50.6,50.5,INE583L01014
AHL,EQ,223.95,222.75,INE00ZE01026
AHLADA,EQ,100.4,101,INE00PV01013
AHLEAST,EQ,116.6,116.5,INE926K01017
AHLUCONT,EQ,516.15,516.55,INE758C01029
AIAENG,EQ,2882.55,2873,INE212H01026
AIRAN,EQ,15.15,15.25,INE645W01026
AIROLAM,EQ,74.1,75,INE801L01010
AJANTPHARM,EQ,1254.9,1256.7,INE031B01049
AJMERA,EQ,302.7,302,INE298G01027
AJOONI,EQ,5,5,INE820Y01021
AKASH,EQ,27.25,27.1,INE737W01013
AKG,EQ,32,32.25,INE00Y801016
AKI,EQ,103.85,103.75,INE642Z01018
AKSHARCHEM,EQ,231.85,232,INE542B01011
AKSHOPTFBR,EQ,9.3,9.4,INE523B01011
AKZOINDIA,EQ,2303.85,2308.7,INE133A01011
ALANKIT,EQ,8.55,8.5,INE914E01040
ALBERTDAVD,EQ,572.6,571.25,INE155C01010
ALEMBICLTD,EQ,61.4,61.35,INE426A01027
ALICON,EQ,788.55,790.3,INE062D01024
ALKALI,EQ,108,109,INE773I01017
ALKEM,EQ,3345.05,3343.95,INE540L01014
ALKYLAMINE,EQ,2426.7,2420,INE150B01039
ALLCARGO,EQ,345.9,346.2,INE418H01029
ALLSEC,EQ,481.7,475.1,INE835G01018
ALMONDZ,EQ,67.55,71.9,INE326B01027
ALOKINDS,EQ,12.95,12.9,INE270A01029
ALPA,EQ,59.55,60.3,INE385I01010
ALPHAGEO,EQ,224.5,224,INE137C01018
ALPSINDUS,EQ,1.2,1.2,INE093B01015
AMARAJABAT,EQ,570.7,569,INE885A01032
AMBER,EQ,1865.4,1863.95,INE371P01015
AMBICAAGAR,EQ,20.25,20.35,INE792B01012
AMBIKCO,EQ,1535.4,1538,INE540G01014
